Easting,Northing
2311723,6197825
2611425,6197730
2610867,6197424
2610210,6196820
2609692,6196167
2609340,6195445
2609188,6194741
2609304,6194151
2609792,6192588
2609920,6191960
2609991,6191370
2609940,6190545
2609838,6189895
2609839,6189224
2610055,6188519
2610425,6188016
2610810,6187698
2611195,6187664
2611633,6187832
2612068,6188335
2612588,6189341
2613058,6191385
2613209,6192255
2613870,6194868
2613883,6195627
2613783,6196416
2613448,6196935
2613011,6197422
2612459,6197673
2612113,6197782
2611723,6197825
2611422,6197731
